menuItemName,ingredientName,quantity,unit
Signature Matcha Latte,Premium Culinary Matcha,3,gram
Signature Matcha Latte,Meiji Fresh Milk,200,ml
Signature Matcha Latte,Bio-Cup (Hot 12oz),1,count
Signature Matcha Latte,Hot Cup Lids,1,count
Premium Ceremonial Bowl,Ceremonial Grade Matsu,4,gram
Premium Ceremonial Bowl,Chawan (Tea Bowl),0.01,unit
Premium Ceremonial Bowl,Bamboo Chasen (Whisk),0.005,unit
Iced Matcha,Everyday Matcha Blend,2,gram
Iced Matcha,Meiji Fresh Milk,150,ml
Iced Matcha,Ice Cubes,100,gram
Iced Matcha,Bio-Cup (Cold 16oz),1,count
Iced Matcha,Cold Cup Lids,1,count
Iced Matcha,Paper Straws,1,count
Oat Matcha Latte,Premium Culinary Matcha,3,gram
Oat Matcha Latte,Oatly Barista Edition,200,ml
Oat Matcha Latte,Bio-Cup (Hot 12oz),1,count
Oat Matcha Latte,Hot Cup Lids,1,count
Strawberry Matcha,Premium Culinary Matcha,2,gram
Strawberry Matcha,Meiji Fresh Milk,150,ml
Strawberry Matcha,Frozen Strawberry Puree,30,gram
Strawberry Matcha,Bio-Cup (Cold 16oz),1,count
Strawberry Matcha,Cold Cup Lids,1,count
Strawberry Matcha,Paper Straws,1,count
Honey Foam Matcha,Premium Culinary Matcha,3,gram
Honey Foam Matcha,Meiji Fresh Milk,180,ml
Honey Foam Matcha,Honey Local Raw,15,gram
Honey Foam Matcha,Whipping Cream,30,ml
Honey Foam Matcha,Bio-Cup (Hot 12oz),1,count
Honey Foam Matcha,Hot Cup Lids,1,count
Matcha Affogato,Ceremonial Grade Matsu,3,gram
Matcha Affogato,Vanilla Ice Cream,80,ml
Matcha Affogato,Whipping Cream,20,ml
Houjicha Latte,Houjicha Powder,4,gram
Houjicha Latte,Meiji Fresh Milk,200,ml
Houjicha Latte,Bio-Cup (Hot 12oz),1,count
Houjicha Latte,Hot Cup Lids,1,count
Lavender Matcha,Premium Culinary Matcha,2,gram
Lavender Matcha,Meiji Fresh Milk,180,ml
Lavender Matcha,Lavender Dried,1,gram
Lavender Matcha,Vanilla Syrup,10,ml
Lavender Matcha,Bio-Cup (Hot 12oz),1,count
Lavender Matcha,Hot Cup Lids,1,count
Black Sesame Matcha,Premium Culinary Matcha,2,gram
Black Sesame Matcha,Meiji Fresh Milk,180,ml
Black Sesame Matcha,Black Sesame Paste,15,gram
Black Sesame Matcha,Bio-Cup (Hot 12oz),1,count
Black Sesame Matcha,Hot Cup Lids,1,count
Yuzu Matcha Refresher,Everyday Matcha Blend,2,gram
Yuzu Matcha Refresher,Yuzu Juice,20,ml
Yuzu Matcha Refresher,Ice Cubes,120,gram
Yuzu Matcha Refresher,Brown Sugar Syrup,15,ml
Yuzu Matcha Refresher,Bio-Cup (Cold 16oz),1,count
Yuzu Matcha Refresher,Cold Cup Lids,1,count
Yuzu Matcha Refresher,Paper Straws,1,count
Matcha Espresso Fusion,Premium Culinary Matcha,2,gram
Matcha Espresso Fusion,Espresso Beans,18,gram
Matcha Espresso Fusion,Oatly Barista Edition,150,ml
Matcha Espresso Fusion,Bio-Cup (Hot 12oz),1,count
Matcha Espresso Fusion,Hot Cup Lids,1,count
